iteration,period,slope_bin,selection_ratio
17,pre_law_1986_2001,gt_20,0.03290774987913513
17,zae_2009_2019,00_03,1.0533863281880396
17,zae_2009_2019,03_06,1.430627057239612
17,zae_2009_2019,06_09,1.1024864409548434
17,zae_2009_2019,09_12,0.5097397208711058
17,zae_2009_2019,12_20,0.1448307817219753
17,zae_2009_2019,gt_20,0.023835730684775232
18,post_law_pre_zae_2002_2008,00_03,0.8540969278913358
18,post_law_pre_zae_2002_2008,03_06,1.4286325615463502
18,post_law_pre_zae_2002_2008,06_09,1.4137504877501128
18,post_law_pre_zae_2002_2008,09_12,0.7229567401781313
18,post_law_pre_zae_2002_2008,12_20,0.19291328957165946
18,post_law_pre_zae_2002_2008,gt_20,0.026842330694235608
18,post_zae_2020_2023,00_03,0.9700469355456404
18,post_zae_2020_2023,03_06,1.4553278789937458
18,post_zae_2020_2023,06_09,1.1630783814751646
18,post_zae_2020_2023,09_12,0.55087982501537
18,post_zae_2020_2023,12_20,0.16352488659951162
18,post_zae_2020_2023,gt_20,0.04382487936896418
18,pre_law_1986_2001,00_03,0.8178536252910483
18,pre_law_1986_2001,03_06,1.36923242948482
18,pre_law_1986_2001,06_09,1.5406508182005272
18,pre_law_1986_2001,09_12,0.9261360826963076
18,pre_law_1986_2001,12_20,0.2534180798671687
18,pre_law_1986_2001,gt_20,0.0389629426968516
18,zae_2009_2019,00_03,1.06862145556039
18,zae_2009_2019,03_06,1.4105535650869967
18,zae_2009_2019,06_09,1.0593244259214512
18,zae_2009_2019,09_12,0.46058016112148237
18,zae_2009_2019,12_20,0.1352271812417317
18,zae_2009_2019,gt_20,0.026805425202883214
19,post_law_pre_zae_2002_2008,00_03,0.9159886610102103
19,post_law_pre_zae_2002_2008,03_06,1.4509503443927172
19,post_law_pre_zae_2002_2008,06_09,1.3221337153254558
19,post_law_pre_zae_2002_2008,09_12,0.6255746888427842
19,post_law_pre_zae_2002_2008,12_20,0.16066904025744572
19,post_law_pre_zae_2002_2008,gt_20,0.01869700674010052
19,post_zae_2020_2023,00_03,0.9700783343253997
19,post_zae_2020_2023,03_06,1.4502598715526398
19,post_zae_2020_2023,06_09,1.2157442064062671
19,post_zae_2020_2023,09_12,0.5733266683268199
19,post_zae_2020_2023,12_20,0.165422303772806
19,post_zae_2020_2023,gt_20,0.03368649394573718
